id,title,description,link,image_link,price,availability,condition,brand
"v1|318540555647|0","One Piece Ichiban Kuji Luffy Promo Card OP13-001 Japanese Sealed Bandai NEW","One Piece Ichiban Kuji Luffy Promo Card OP13-001 Japanese Sealed Bandai NEW — authentic Japanese item, shipped worldwide with tracking from Sanuki Trading.","https://sanukitrading2026-hub.github.io/ebay-store/items/v1-318540555647-0.html","https://i.ebayimg.com/images/g/xd4AAeSwbqtqPzcW/s-l225.jpg","40.00 USD","in stock","used","Sanuki Trading"
"v1|318529156639|0","Pokemon Japanese M5 Abyss Eye Booster Pack Lot x5 Sealed Unopened Mega Darkrai","Pokemon Japanese M5 Abyss Eye Booster Pack Lot x5 Sealed Unopened Mega Darkrai — authentic Japanese item, shipped worldwide with tracking from Sanuki Trading.","https://sanukitrading2026-hub.github.io/ebay-store/items/v1-318529156639-0.html","https://i.ebayimg.com/images/g/KmQAAeSwGspqRSKf/s-l225.jpg","11.00 USD","in stock","new","Sanuki Trading"
"v1|318528561863|0","One Piece P.O.P Portrait of Pirates Shanks Megahouse 2008 Excellent Model Figure","One Piece P.O.P Portrait of Pirates Shanks Megahouse 2008 Excellent Model Figure — authentic Japanese item, shipped worldwide with tracking from Sanuki Trading.","https://sanukitrading2026-hub.github.io/ebay-store/items/v1-318528561863-0.html","https://i.ebayimg.com/images/g/-44AAeSwFW1qdKFq/s-l225.jpg","99.99 USD","in stock","new","Sanuki Trading"
"v1|318527123434|0","Pokemon TCG Mega Symphonia 10 Pack Set Japanese Booster Packs Sealed","Pokemon TCG Mega Symphonia 10 Pack Set Japanese Booster Packs Sealed — authentic Japanese item, shipped worldwide with tracking from Sanuki Trading.","https://sanukitrading2026-hub.github.io/ebay-store/items/v1-318527123434-0.html","https://i.ebayimg.com/images/g/rCIAAeSw4hZqIAxM/s-l225.jpg","15.00 USD","in stock","new","Sanuki Trading"
"v1|318522318281|0","Pokemon TCG Start Deck 100 Battle Collection Japanese Sealed x2 New","Pokemon TCG Start Deck 100 Battle Collection Japanese Sealed x2 New — authentic Japanese item, shipped worldwide with tracking from Sanuki Trading.","https://sanukitrading2026-hub.github.io/ebay-store/items/v1-318522318281-0.html","https://i.ebayimg.com/images/g/tOMAAeSwf9FqN6Nd/s-l225.jpg","59.00 USD","in stock","new","Sanuki Trading"
"v1|318505436785|0","ONE PIECE Grandista Gear 5 II Luffy & Jewelry Bonney Figure Set New Japan","ONE PIECE Grandista Gear 5 II Luffy & Jewelry Bonney Figure Set New Japan — authentic Japanese item, shipped worldwide with tracking from Sanuki Trading.","https://sanukitrading2026-hub.github.io/ebay-store/items/v1-318505436785-0.html","https://i.ebayimg.com/images/g/oZYAAeSwZjlqPcrV/s-l225.jpg","48.00 USD","in stock","new","Sanuki Trading"
"v1|318503196868|0","Lupin the Third & Jigen 7 inch Full Action Figure Set Banpresto Japan Vintage","Lupin the Third & Jigen 7 inch Full Action Figure Set Banpresto Japan Vintage — authentic Japanese item, shipped worldwide with tracking from Sanuki Trading.","https://sanukitrading2026-hub.github.io/ebay-store/items/v1-318503196868-0.html","https://i.ebayimg.com/images/g/z2sAAeSw9JZqM~EI/s-l225.jpg","29.49 USD","in stock","new","Sanuki Trading"
"v1|318498689131|0","Dragon Ball Z Solid Edge Works Metal Cooler Figure Banpresto Bandai Japan New","Dragon Ball Z Solid Edge Works Metal Cooler Figure Banpresto Bandai Japan New — authentic Japanese item, shipped worldwide with tracking from Sanuki Trading.","https://sanukitrading2026-hub.github.io/ebay-store/items/v1-318498689131-0.html","https://i.ebayimg.com/images/g/mBwAAeSwRkZqNOzB/s-l225.jpg","29.49 USD","in stock","new","Sanuki Trading"
"v1|318496759115|0","One Piece Mega World Collectable Figure Kaido of the Beasts Set of 2 Banpresto","One Piece Mega World Collectable Figure Kaido of the Beasts Set of 2 Banpresto — authentic Japanese item, shipped worldwide with tracking from Sanuki Trading.","https://sanukitrading2026-hub.github.io/ebay-store/items/v1-318496759115-0.html","https://i.ebayimg.com/images/g/rXAAAeSwaZBp4c9y/s-l225.jpg","49.99 USD","in stock","new","Sanuki Trading"
"v1|318496597378|0","Dragon Ball Z Solid Edge Works Master Roshi Kame Sennin Banpresto Figure Japan","Dragon Ball Z Solid Edge Works Master Roshi Kame Sennin Banpresto Figure Japan — authentic Japanese item, shipped worldwide with tracking from Sanuki Trading.","https://sanukitrading2026-hub.github.io/ebay-store/items/v1-318496597378-0.html","https://i.ebayimg.com/images/g/5OEAAeSw5oRqOnag/s-l225.jpg","24.99 USD","in stock","new","Sanuki Trading"
